neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,square_feet,price,cleaning_fee,review_scores_rating
Mission District,37.758131816496665,-122.41411774554672,Apartment,Private room,2,1.0,1.0,2.0,"{""Wireless Internet"",Kitchen,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self Check-In"",Keypad}",,$79.00,$10.00,100.0
Mission District,37.75754497349558,-122.42012521957732,Apartment,Entire home/apt,2,1.0,0.0,1.0,"{""Wireless Internet"",Kitchen,Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""Lock on bedroom door"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$115.00,,96.0
Mission District,37.76249604814942,-122.42260295756658,House,Entire home/apt,6,2.0,4.0,4.0,"{TV,Internet,""Wireless Internet"",Kitchen,""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Lockbox}",,$575.00,$150.00,95.0
Mission District,37.75804240295867,-122.42110106383629,Apartment,Private room,1,1.0,1.0,1.0,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Hangers,Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$65.00,,97.0
Mission District,37.75788359494436,-122.40753054788263,House,Entire home/apt,10,3.5,5.0,6.0,"{Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo,""24-hour check-in"",""Laptop friendly workspace""}",,"$2,000.00",,
Mission District,37.754564414774144,-122.41252638760092,Apartment,Private room,1,1.0,1.0,1.0,"{""Wireless Internet"",Kitchen,Heating,Washer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$51.00,,
,37.75239754472986,-122.42448040014351,Cabin,Entire home/apt,2,1.0,0.0,1.0,"{TV,Internet,""Wireless Internet"",Kitchen,Dog(s),Cat(s),""Other pet(s)"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Keypad}",,$159.00,$90.00,99.0
Mission District,37.76911000754381,-122.41193446152616,Apartment,Private room,2,1.0,1.0,1.0,{},,$120.00,,
Mission District,37.768623444929254,-122.42443655528706,Apartment,Private room,2,1.0,1.0,1.0,"{Internet,""Wireless Internet"",""Wheelchair accessible"",Kitchen,""Pets live on this property"",Dog(s),""Elevator in building"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo}",,$100.00,$20.00,98.0
Mission District,37.760662031470986,-122.4208267688101,Apartment,Shared room,2,1.0,1.0,1.0,"{""Wireless Internet"",Kitchen,Heating,""Family/kid friendly"",""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,Iron}",,$50.00,$5.00,
Mission District,37.758260176668095,-122.40833040110529,House,Private room,2,1.0,1.0,1.0,"{""Wireless Internet"",Kitchen,""Pets live on this property"",Cat(s),Washer,Dryer,""Smoke detector"",Shampoo}",,$80.00,,100.0
Mission District,37.755961358466145,-122.40953015706768,Apartment,Private room,1,1.0,1.0,1.0,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo}",,$75.00,,80.0
Mission District,37.75942336176793,-122.407542379533,House,Private room,2,1.0,1.0,1.0,"{TV,""Cable TV"",Internet,""Wireless Internet"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo}",,$155.00,$50.00,98.0
Mission District,37.759932313874714,-122.42136669190809,Condominium,Entire home/apt,4,1.0,2.0,2.0,"{TV,""Wireless Internet"",Kitchen,Breakfast,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",""Hair dryer"",""Laptop friendly workspace""}",,$250.00,$75.00,90.0
Mission District,37.77021194835183,-122.42289864996941,House,Private room,2,1.0,1.0,1.0,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50""}",,$55.00,$20.00,97.0
Mission District,37.75065685054285,-122.4234918406435,House,Entire home/apt,6,2.5,3.0,3.0,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",""Pets live on this property"",Cat(s),""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50""}",,$450.00,$125.00,83.0
Mission District,37.749449219104726,-122.4095555558233,Apartment,Entire home/apt,6,2.0,3.0,3.0,"{TV,Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Pets allowed"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$250.00,$125.00,92.0
Noe Valley,37.75375109050484,-122.42520109079176,Apartment,Entire home/apt,4,1.0,2.0,2.0,"{TV,Internet,""Wireless Internet"",""Wheelchair accessible"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo}",,$150.00,$50.00,100.0
Mission District,37.75641542425704,-122.41285126596114,House,Entire home/apt,4,2.0,2.0,2.0,"{TV,Internet,""Wireless Internet"",Kitchen,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer""}",,$300.00,$100.00,97.0
Mission District,37.76772248809532,-122.4221520406975,Apartment,Entire home/apt,2,1.0,1.0,1.0,"{Internet,""Wireless Internet"",Kitchen,Breakfast,""Elevator in building"",""Indoor fireplace"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",,$170.00,$50.00,100.0
,37.75151485225926,-122.42450179888884,Apartment,Entire home/apt,3,1.0,0.0,2.0,"{TV,""Cable TV"",""Wireless Internet""}",,$190.00,$80.00,
Mission District,37.754400534358474,-122.41250701086649,Condominium,Entire home/apt,3,1.0,1.0,1.0,"{TV,Internet,""Wireless Internet"",Kitchen,""Pets allowed"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self Check-In"",Lockbox}",,$230.00,$180.00,91.0
Mission District,37.75309746814996,-122.41996790277355,Apartment,Private room,2,1.5,1.0,1.0,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",,$115.00,,99.0
Mission District,37.7578040498004,-122.42144344598648,Apartment,Private room,1,1.0,1.0,1.0,"{TV,Internet,""Wireless Internet"",Kitchen,""Pets live on this property"",Dog(s),Heating,Washer,Dryer,""Smoke detector"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Hair dryer"",Iron,""Laptop friendly workspace""}",,$95.00,$65.00,93.0
Mission District,37.74970234786026,-122.40663746861223,House,Private room,2,1.5,1.0,1.0,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$90.00,$55.00,95.0
Mission District,37.76645744817736,-122.42535429433487,Apartment,Private room,1,1.5,1.0,1.0,"{TV,""Wireless Internet"",""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$95.00,$30.00,95.0
Mission District,37.750897616344716,-122.4148136404558,Apartment,Entire home/apt,2,1.0,1.0,1.0,"{TV,Internet,""Wireless Internet"",Kitchen,""Buzzer/wireless intercom"",Heating,Washer,Dryer,Essentials,Shampoo,""Laptop friendly workspace""}",,$350.00,$25.00,
Mission District,37.75110864696127,-122.41873225693656,Apartment,Entire home/apt,1,1.0,1.0,1.0,"{Internet,""Wireless Internet"",Kitchen,""Free parking on premises"",""Hot tub"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Shampoo,""Hair dryer"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",170.0,$130.00,$75.00,100.0
Mission District,37.755262578068034,-122.42496642217907,Apartment,Entire home/apt,2,1.0,0.0,1.0,"{TV,""Wireless Internet"",Kitchen,Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,"$4,000.00",$50.00,94.0
Mission District,37.756917888721276,-122.41116436354288,Loft,Entire home/apt,3,1.5,1.0,1.0,"{TV,Internet,""Wireless Internet"",Kitchen,""Indoor fireplace"",""Buzzer/wireless intercom"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",,$349.00,$100.00,98.0
Mission District,37.76096715422161,-122.4231304577762,Apartment,Private room,2,1.0,1.0,1.0,"{TV,Internet,""Wireless Internet"",Kitchen,Heating,Washer,Dryer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",,$115.00,,94.0
Mission District,37.758493711341174,-122.41579986838195,Condominium,Entire home/apt,3,1.0,2.0,1.0,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self Check-In"",Keypad}",,$170.00,$85.00,100.0
Mission District,37.748254037981404,-122.41768159134364,Apartment,Private room,2,1.0,1.0,1.0,"{TV,Internet,""Wireless Internet"",Kitchen,""Elevator in building"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",,$115.00,$50.00,100.0
